Block,Cage,Hour,Minute,Time,z,x,y,Perch,Beh,Disturbed,Observer,Notes,Animal
3,A,7,0,7,78,23,20,Cage,Sit,NA,Rob,NA,MEFE
3,B,7,0,7,85,7,16,Cage,Sit,NA,Rob,NA,MEFE
3,C,7,0,7,80,4,8,Cage,Sit,NA,Rob,NA,MEFE
3,D,7,0,7,27,14,8,GR,Walk,NA,Rob,NA,MEFE
3,E,7,0,7,47,14,10,GR,Sit,NA,Rob,NA,MEFE
3,A,7,30,7.5,81,20,2,Cage,Sit,NA,Rob,NA,MEFE
3,B,7,30,7.5,90,7,12,Cage,Sit,NA,Rob,NA,MEFE
3,C,7,30,7.5,80,4,10,Cage,Sit,NA,Rob,NA,MEFE
3,D,7,30,7.5,27,14,7,GR,Sit,NA,Rob,NA,MEFE
3,E,7,30,7.5,83,16,11,Cage,Sit,NA,Rob,NA,MEFE
3,A,8,0,8,77,23,19,Cage,Sit,NA,Rob,NA,MEFE
3,B,8,0,8,85,6,11,Cage,Walk,NA,Rob,NA,MEFE
3,C,8,0,8,83,4,8,Cage,Sit,NA,Rob,NA,MEFE
3,D,8,0,8,83,28,0,Cage,Walk,NA,Rob,NA,MEFE
3,E,8,0,8,84,18,11,Cage,Sit,NA,Rob,NA,MEFE
3,A,8,30,8.5,80,23,21,Cage,Sit,NA,Rob,NA,MEFE
3,B,8,30,8.5,86,9,10,Cage,Sit,NA,Rob,NA,MEFE
3,C,8,30,8.5,83,4,7,Cage,Sit,NA,Rob,NA,MEFE
3,D,8,30,8.5,84,30,3,Cage,Walk,NA,Rob,NA,MEFE
3,E,8,30,8.5,85,19,10,Cage,Walk,NA,Rob,NA,MEFE
3,A,9,0,9,80,25,20,Cage,Sit,NA,Rob,NA,MEFE
3,B,9,0,9,87,9,13,Cage,Sit,NA,Rob,NA,MEFE
3,C,9,0,9,83,4,7,Cage,Sit,NA,Rob,NA,MEFE
3,D,9,0,9,83,14,7,Cage,Sit,NA,Rob,NA,MEFE
3,E,9,0,9,84,18,12,Cage,Sit,NA,Rob,NA,MEFE
3,A,9,30,9.5,79,23,20,Cage,Sit,NA,Rob,NA,MEFE
3,B,9,30,9.5,83,12,21,Cage,Sit,NA,Rob,NA,MEFE
3,C,9,30,9.5,80,14,6,GR,Sit,NA,Rob,NA,MEFE
3,D,9,30,9.5,84,25,3,Cage,Sit,NA,Rob,NA,MEFE
3,E,9,30,9.5,84,30,4,Cage,Sit,NA,Rob,NA,MEFE
3,A,10,0,10,83,4,20,Cage,Sit,NA,Rob,NA,MEFE
3,B,10,0,10,83,5,13,GR,Sit,NA,Rob,NA,MEFE
3,C,10,0,10,83,21,6,Cage,Walk,NA,Rob,NA,MEFE
3,D,10,0,10,84,24,6,Cage,Walk,NA,Rob,NA,MEFE
3,E,10,0,10,84,5,10,Cage,Walk,NA,Rob,NA,MEFE
3,A,10,30,10.5,83,2,15,Cage,Walk,NA,Rob,NA,MEFE
3,B,10,30,10.5,85,21,7,Cage,Walk,NA,Rob,NA,MEFE
3,C,10,30,10.5,72,86,3,Cage,Sit,NA,Rob,NA,MEFE
3,D,10,30,10.5,85,33,13,Cage,Walk,NA,Rob,NA,MEFE
3,E,10,30,10.5,83,32,5,Cage,Sit,NA,Rob,NA,MEFE
3,A,11,0,11,84,3,4,Cage,Sit,NA,Rob,NA,MEFE
3,B,11,0,11,85,17,4,Cage,Sit,NA,Rob,NA,MEFE
3,C,11,0,11,77,11,8,GR,Sit,NA,Rob,NA,MEFE
3,D,11,0,11,84,26,16,Cage,Sit,NA,Rob,NA,MEFE
3,E,11,0,11,61,7,7,GR,Sit,NA,Rob,NA,MEFE
3,A,11,30,11.5,82,7,10,Cage,Sit,NA,Rob,NA,MEFE
3,B,11,30,11.5,80,5,24,Cage,Sit,NA,Rob,NA,MEFE
3,C,11,30,11.5,82,16,5,GR,Sit,NA,Rob,NA,MEFE
3,D,11,30,11.5,82,9,8,Cage,Sit,NA,Rob,NA,MEFE
3,E,11,30,11.5,84,17,5,GR,Walk,NA,Rob,NA,MEFE
3,A,12,0,12,42,3,3,Mesh,Walk,NA,Rob,NA,MEFE
3,B,12,0,12,83,17,20,Cage,Sit,NA,Rob,NA,MEFE
3,C,12,0,12,80,16,5,GR,Sit,NA,Rob,NA,MEFE
3,D,12,0,12,83,11,2,Cage,Walk,NA,Rob,NA,MEFE
3,E,12,0,12,82,21,9,Cage,Walk,NA,Rob,NA,MEFE
3,A,12,30,12.5,81,2,13,Cage,Walk,NA,Rob,NA,MEFE
3,B,12,30,12.5,85,5,11,Cage,Sit,NA,Rob,NA,MEFE
3,C,12,30,12.5,80,19,4,Cage,Walk,NA,Rob,NA,MEFE
3,D,12,30,12.5,83,35,5,Cage,Sit,NA,Rob,NA,MEFE
3,E,12,30,12.5,83,28,7,GR,Sit,NA,Rob,NA,MEFE
3,A,13,0,13,26,27,17,GR,Sit,NA,Rob,NA,MEFE
3,B,13,0,13,86,10,11,Cage,Sit,NA,Rob,NA,MEFE
3,C,13,0,13,82,29,6,Cage,Sit,NA,Rob,NA,MEFE
3,D,13,0,13,84,31,6,Mesh,Sit,NA,Rob,NA,MEFE
3,E,13,0,13,82,22,0,Cage,Walk,NA,Rob,NA,MEFE
3,A,13,30,13.5,36,25,19,Cage,Sit,NA,Rob,NA,MEFE
3,B,13,30,13.5,84,8,23,Cage,Sit,NA,Rob,NA,MEFE
