Treatment,Cage,Htmax_1,Htmax_12,Htmax,Htavg_1,Htavg,Mf_Aug,MF_Aug_d,Oa_Aug,Pm_Aug,dOa_Aug,dMF_Aug,dPm_Aug,Pm_Sept,Pm_body_Aug,Pm_body_Sept,MF_Sept,MF_Sept_d,MF_body1,MF_body2,Oa_Sept,Tr_Sept,Notes
A,1,6,T,12,1T,3,2,0,3,0,0,0,0,0,,,2,0,,,3,1,Wet
A,2,7,T,14,4B,8,1,1,2,0,1,0,0,0,,,0,2,,,0,0,Very Wet
A,3,6,B,12,2T,5,2,0,2,0,0,0,0,0,,,2,0,,,1,0,Dry
A,4,5,T,10,1T,3,2,0,1,0,0,0,0,0,,,2,0,,,1,0,
A,5,6,B,12,4T,9,0,2,0,0,0,0,0,0,,,2,0,,,1,0,"Wet, 2 dead Oa"
B,6,5,T,10,3B,6,2,0,3,1,0,0,0,1,,6.55,2,0,,,3,1,"1 worm, dry"
B,7,8,T,16,4T,9,1,1,1,1,0,0,0,1,,8.58,1,1,,,0,0,Dry
B,8,T,op,18,4B,8,2,0,2,1,0,0,0,1,,7.46,1,1,,,1,1,"1 worm, dry"
B,9,8,B,16,3T,7,1,1,2,0,0,1,0,1,,6.63,1,1,,,0,0,Had 1 Oa yesterday
A,10,8,B,16,4B,8,2,0,2,0,0,0,0,0,,,2,0,,,2,1,Wet
C,11,5,B,10,4B,8,2,0,0,1,0,0,0,1,,7.81,1,1,,,0,1,Wet
C,12,6,T,12,1T,3,2,0,0,1,0,0,0,1,,9.06,2,0,,,0,0,Wet
C,13,6,B,12,3B,6,2,0,0,1,0,0,0,1,,8.07,1,1,,,0,0,Wet
C,14,8,B,16,3T,7,2,0,0,1,0,0,0,1,,8.04,2,0,,,0,0,Dry
C,15,6,B,12,2B,4,2,0,0,1,0,0,0,1,,8.88,2,0,,,0,0,Wet
