Block,Cage,Hour,Minute,Time,Animal,z,x,y,Perch,Beh,Disturbed,Observer,Notes
3,A,7,0,7,MEFE,78,23,20,Cage,Sit,,Rob,
3,B,7,0,7,MEFE,85,7,16,Cage,Sit,,Rob,
3,C,7,0,7,MEFE,80,4,8,Cage,Sit,,Rob,
3,D,7,0,7,MEFE,27,14,8,GR,Walk,,Rob,
3,E,7,0,7,MEFE,47,14,10,GR,Sit,,Rob,
3,A,7,30,7.5,MEFE,81,20,2,Cage,Sit,,Rob,
3,B,7,30,7.5,MEFE,90,7,12,Cage,Sit,,Rob,
3,C,7,30,7.5,MEFE,80,4,10,Cage,Sit,,Rob,
3,D,7,30,7.5,MEFE,27,14,7,GR,Sit,,Rob,
3,E,7,30,7.5,MEFE,83,16,11,Cage,Sit,,Rob,
3,A,8,0,8,MEFE,77,23,19,Cage,Sit,,Rob,
3,B,8,0,8,MEFE,85,6,11,Cage,Walk,,Rob,
3,C,8,0,8,MEFE,83,4,8,Cage,Sit,,Rob,
3,D,8,0,8,MEFE,83,28,0,Cage,Walk,,Rob,
3,E,8,0,8,MEFE,84,18,11,Cage,Sit,,Rob,
3,A,8,30,8.5,MEFE,80,23,21,Cage,Sit,,Rob,
3,B,8,30,8.5,MEFE,86,9,10,Cage,Sit,,Rob,
3,C,8,30,8.5,MEFE,83,4,7,Cage,Sit,,Rob,
3,D,8,30,8.5,MEFE,84,30,3,Cage,Walk,,Rob,
3,E,8,30,8.5,MEFE,85,19,10,Cage,Walk,,Rob,
3,A,9,0,9,MEFE,80,25,20,Cage,Sit,,Rob,
3,B,9,0,9,MEFE,87,9,13,Cage,Sit,,Rob,
3,C,9,0,9,MEFE,83,4,7,Cage,Sit,,Rob,
3,D,9,0,9,MEFE,83,14,7,Cage,Sit,,Rob,
3,E,9,0,9,MEFE,84,18,12,Cage,Sit,,Rob,
3,A,9,30,9.5,MEFE,79,23,20,Cage,Sit,,Rob,
3,B,9,30,9.5,MEFE,83,12,21,Cage,Sit,,Rob,
3,C,9,30,9.5,MEFE,80,14,6,GR,Sit,,Rob,
3,D,9,30,9.5,MEFE,84,25,3,Cage,Sit,,Rob,
3,E,9,30,9.5,MEFE,84,30,4,Cage,Sit,,Rob,
3,A,10,0,10,MEFE,83,4,20,Cage,Sit,,Rob,
3,B,10,0,10,MEFE,83,5,13,GR,Sit,,Rob,
3,C,10,0,10,MEFE,83,21,6,Cage,Walk,,Rob,
3,D,10,0,10,MEFE,84,24,6,Cage,Walk,,Rob,
3,E,10,0,10,MEFE,84,5,10,Cage,Walk,,Rob,
3,A,10,30,10.5,MEFE,83,2,15,Cage,Walk,,Rob,
3,B,10,30,10.5,MEFE,85,21,7,Cage,Walk,,Rob,
3,C,10,30,10.5,MEFE,72,86,3,Cage,Sit,,Rob,
3,D,10,30,10.5,MEFE,85,33,13,Cage,Walk,,Rob,
3,E,10,30,10.5,MEFE,83,32,5,Cage,Sit,,Rob,
3,A,11,0,11,MEFE,84,3,4,Cage,Sit,,Rob,
3,B,11,0,11,MEFE,85,17,4,Cage,Sit,,Rob,
3,C,11,0,11,MEFE,77,11,8,GR,Sit,,Rob,
3,D,11,0,11,MEFE,84,26,16,Cage,Sit,,Rob,
3,E,11,0,11,MEFE,61,7,7,GR,Sit,,Rob,
3,A,11,30,11.5,MEFE,82,7,10,Cage,Sit,,Rob,
3,B,11,30,11.5,MEFE,80,5,24,Cage,Sit,,Rob,
3,C,11,30,11.5,MEFE,82,16,5,GR,Sit,,Rob,
3,D,11,30,11.5,MEFE,82,9,8,Cage,Sit,,Rob,
3,E,11,30,11.5,MEFE,84,17,5,GR,Walk,,Rob,
3,A,12,0,12,MEFE,42,3,3,Mesh,Walk,,Rob,
3,B,12,0,12,MEFE,83,17,20,Cage,Sit,,Rob,
3,C,12,0,12,MEFE,80,16,5,GR,Sit,,Rob,
3,D,12,0,12,MEFE,83,11,2,Cage,Walk,,Rob,
3,E,12,0,12,MEFE,82,21,9,Cage,Walk,,Rob,
3,A,12,30,12.5,MEFE,81,2,13,Cage,Walk,,Rob,
3,B,12,30,12.5,MEFE,85,5,11,Cage,Sit,,Rob,
3,C,12,30,12.5,MEFE,80,19,4,Cage,Walk,,Rob,
3,D,12,30,12.5,MEFE,83,35,5,Cage,Sit,,Rob,
3,E,12,30,12.5,MEFE,83,28,7,GR,Sit,,Rob,
3,A,13,0,13,MEFE,26,27,17,GR,Sit,,Rob,
3,B,13,0,13,MEFE,86,10,11,Cage,Sit,,Rob,
3,C,13,0,13,MEFE,82,29,6,Cage,Sit,,Rob,
3,D,13,0,13,MEFE,84,31,6,Mesh,Sit,,Rob,
3,E,13,0,13,MEFE,82,22,0,Cage,Walk,,Rob,
3,A,13,30,13.5,MEFE,36,25,19,Cage,Sit,,Rob,
3,B,13,30,13.5,MEFE,84,8,23,Cage,Sit,,Rob,
3,C,13,30,13.5,MEFE,83,15,8,GR,Sit,,Rob,
3,D,13,30,13.5,MEFE,83,28,8,Mesh,Sit,,Rob,
3,E,13,30,13.5,MEFE,85,27,8,Cage,Walk,,Rob,
3,A,14,0,14,MEFE,14,33,9,Cage,Sit,,Rob,
3,B,14,0,14,MEFE,87,13,10,Cage,Walk,,Rob,
3,C,14,0,14,MEFE,80,25,19,Cage,Walk,,Rob,
3,D,14,0,14,MEFE,82,16,0,Cage,Walk,,Rob,
3,E,14,0,14,MEFE,82,32,10,Cage,Walk,,Rob,
3,A,14,30,14.5,MEFE,37,25,20,Cage,Sit,,Rob,
3,B,14,30,14.5,MEFE,86,12,14,Cage,Sit,,Rob,
3,C,14,30,14.5,MEFE,62,28,17,Cage,Walk,,Rob,
3,D,14,30,14.5,MEFE,84,31,4,Cage,Sit,,Rob,
3,E,14,30,14.5,MEFE,81,28,20,Cage,Sit,,Rob,
3,A,15,0,15,MEFE,35,32,13,Cage,Sit,,Rob,
3,B,15,0,15,MEFE,84,24,6,Mesh,Sit,,Rob,
3,C,15,0,15,MEFE,81,15,12,Cage,Sit,,Rob,
3,D,15,0,15,MEFE,37,16,6,GR,Sit,,Rob,
3,E,15,0,15,MEFE,86,7,9,Cage,Walk,,Rob,
3,A,15,30,15.5,MEFE,43,32,15,Cage,Sit,,Rob,
3,B,15,30,15.5,MEFE,84,9,8,Cage,Sit,,Rob,
3,C,15,30,15.5,MEFE,80,15,10,GR,Sit,,Rob,
3,D,15,30,15.5,MEFE,83,40,10,Cage,Sit,,Rob,
3,E,15,30,15.5,MEFE,80,23,3,Cage,Sit,,Rob,
3,A,16,0,16,MEFE,42,25,15,GR,Sit,,Rob,
3,B,16,0,16,MEFE,82,23,14,Cage,Sit,,Rob,
3,C,16,0,16,MEFE,81,17,12,GR,Walk,,Rob,
3,D,16,0,16,MEFE,85,15,3,Cage,Sit,,Rob,
3,E,16,0,16,MEFE,84,12,5,Cage,Walk,,Rob,
3,A,16,30,16.5,MEFE,57,27,19,Cage,Sit,,Rob,
3,B,16,30,16.5,MEFE,85,20,8,Cage,Sit,,Rob,
3,C,16,30,16.5,MEFE,80,16,14,Cage,Sit,,Rob,
3,D,16,30,16.5,MEFE,72,15,18,Cage,Sit,,Rob,
3,E,16,30,16.5,MEFE,83,18,5,Cage,Sit,,Rob,
3,A,17,0,17,MEFE,57,27,19,Cage,Sit,,Rob,
3,B,17,0,17,MEFE,84,28,5,Cage,Sit,,Rob,
3,C,17,0,17,MEFE,82,16,5,GR,Sit,,Rob,
3,D,17,0,17,MEFE,72,16,16,Cage,Sit,,Rob,
3,E,17,0,17,MEFE,83,30,5,Cage,Eat,,Rob,
3,A,17,30,17.5,MEFE,62,29,20,Mesh,Sit,,Rob,
3,B,17,30,17.5,MEFE,84,27,4,Cage,Sit,,Rob,
3,C,17,30,17.5,MEFE,84,18,8,Cage,Walk,,Rob,
3,D,17,30,17.5,MEFE,30,21,10,GR,Eat,,Rob,
3,E,17,30,17.5,MEFE,85,24,10,Cage,Sit,,Rob,
3,A,18,0,18,MEFE,69,32,13,Cage,Sit,,Rob,
3,B,18,0,18,MEFE,85,25,6,Cage,Sit,,Rob,
3,C,18,0,18,MEFE,82,14,4,Mesh,Sit,,Rob,
3,D,18,0,18,MEFE,39,21,8,GR,Walk,,Rob,
3,E,18,0,18,MEFE,84,24,15,GR,Eat,,Rob,
3,A,18,30,18.5,MEFE,58,25,16,GR,Sit,,Rob,
3,B,18,30,18.5,MEFE,85,28,7,Cage,Sit,,Rob,
3,C,18,30,18.5,MEFE,82,16,8,Cage,Sit,,Rob,
3,D,18,30,18.5,MEFE,42,22,8,GR,Sit,,Rob,
3,E,18,30,18.5,MEFE,83,24,5,Mesh,Sit,,Rob,
3,A,19,0,19,MEFE,61,21,19,Cage,Sit,,Rob,
3,B,19,0,19,MEFE,81,31,6,Cage,Sit,,Rob,
3,C,19,0,19,MEFE,80,15,10,GR,Eat,,Rob,
3,D,19,0,19,MEFE,39,19,8,GR,Sit,,Rob,
3,E,19,0,19,MEFE,84,24,13,Cage,Walk,,Rob,
3,A,7,0,7,MEFE,83,23,11,Cage,Sit,,Rob,
3,B,7,0,7,MEFE,,,,,,,Rob,
3,C,7,0,7,MEFE,78,13,8,GR,Sit,,Rob,
3,D,7,0,7,MEFE,82,25,4,Cage,Sit,,Rob,
3,E,7,0,7,MEFE,80,23,5,Cage,Walk,,Rob,
3,A,7,30,7.5,MEFE,78,22,20,Cage,Sit,,Rob,
3,B,7,30,7.5,MEFE,72,9,12,GR,Sit,,Rob,
3,C,7,30,7.5,MEFE,80,16,8,GR,Sit,,Rob,
3,D,7,30,7.5,MEFE,80,31,6,Cage,Sit,,Rob,
3,E,7,30,7.5,MEFE,86,31,12,Cage,Walk,,Rob,
3,A,8,0,8,MEFE,84,22,9,Cage,Sit,,Rob,
3,B,8,0,8,MEFE,70,10,10,GR,Sit,,Rob,
3,C,8,0,8,MEFE,80,9,8,GR,Sit,,Rob,
3,D,8,0,8,MEFE,83,29,0,Cage,Walk,,Rob,
3,E,8,0,8,MEFE,84,24,11,Cage,Walk,,Rob,
3,A,8,30,8.5,MEFE,83,28,17,Cage,Sit,,Rob,
3,B,8,30,8.5,MEFE,69,10,6,GR,Sit,,Rob,
3,C,8,30,8.5,MEFE,80,9,8,GR,Sit,,Rob,
3,D,8,30,8.5,MEFE,82,21,2,Cage,Sit,,Rob,
3,E,8,30,8.5,MEFE,85,14,6,GR,Sit,,Rob,
3,A,9,0,9,MEFE,83,21,7,Cage,Sit,,Rob,
3,B,9,0,9,MEFE,70,10,7,GR,Sit,,Rob,
3,C,9,0,9,MEFE,80,9,8,GR,Sit,,Rob,
3,D,9,0,9,MEFE,84,31,1,Cage,Sit,,Rob,
3,E,9,0,9,MEFE,84,12,12,Cage,Sit,,Rob,
3,A,9,30,9.5,MEFE,83,20,10,Cage,Sit,,Rob,
3,B,9,30,9.5,MEFE,70,10,7,GR,Sit,,Rob,
3,C,9,30,9.5,MEFE,82,4,8,Cage,Sit,,Rob,
3,D,9,30,9.5,MEFE,80,11,1,Cage,Walk,,Rob,
