Block,Cage,Hopper,Spider,ONAS,TRRA,Notes,LTreatment,ugN_gDMES
1,A,0,0,0,0,,IG,1.581504567
1,B,1,0,0,1,,SG,2.632270445
1,C,0,1,3,2,,SIG,4.050281647
1,D,1,0,0,0,,AG,2.064092679
1,E,1,0,0,0,,AIG,2.56037861
2,A,0,0,0,0,,IG,1.581109098
2,B,0,0,0,1,,SG,1.639283658
2,C,1,1,0,0,,SIG,2.427010441
2,D,0,1,0,0,,AG,3.516816017
2,E,1,1,2,2,,AIG,1.848887916
3,A,1,0,0,1,centipede,IG,2.052614091
3,B,1,1,0,1,,SG,3.651291166
3,C,0,1,1,0,,SIG,3.333592508
3,D,1,1,0,0,,AG,1.588989815
3,E,1,1,2,0,,AIG,5.103794751
4,A,0,0,3,1,,IG,2.738370795
4,B,0,0,0,1,,SG,1.225390584
4,C,1,1,0,1,,SIG,3.241912652
4,D,1,1,0,0,,AG,4.910689615
4,E,1,1,0,0,,AIG,2.444561101
5,A,0,0,0,0,,IG,2.514908234
5,B,1,1,0,3,,SG,1.025050248
5,C,0,0,0,0,,SIG,2.900200462
6,A,0,0,2,1,,IG,2.402423103
6,B,0,1,0,0,,SG,2.559536964
6,C,0,1,2,1,,SIG,2.204234982
7,A,1,0,0,0,Fellover,IG,2.739371654
7,B,1,1,0,1,,SG,5.196147149
7,C,1,1,0,1,,SIG,4.114833674
8,A,2,0,0,0,,IG,2.534272051
8,B,1,1,1,4,"ants, parasite think root nematode",SG,4.570813854
8,C,0,1,0,0,ants,SIG,2.727610551
