Order,Date,Day,Plot,Treatment,Mf,Oa,Pm,Rr
1,26-Jul-13,3,Autumn Olive,A,,,,
1,26-Jul-13,3,Autumn Olive,B,3,,,
1,26-Jul-13,3,Autumn Olive,C,3,,1,
1,26-Jul-13,3,Autumn Olive,D,,0,,
1,26-Jul-13,3,Autumn Olive,E,,0,,1
1,26-Jul-13,3,Autumn Olive,F,3,0,,
1,26-Jul-13,3,Autumn Olive,G,2,0,1,
1,26-Jul-13,3,Autumn Olive,H,3,0,,1
1,26-Jul-13,3,Autumn Olive,I,3,0,1,1
1,26-Jul-13,3,Central Plot,A,,,,
1,26-Jul-13,3,Central Plot,B,3,,,
1,26-Jul-13,3,Central Plot,C,3,,1,
1,26-Jul-13,3,Central Plot,D,,0,,
1,26-Jul-13,3,Central Plot,E,,0,,1
1,26-Jul-13,3,Central Plot,F,3,0,,
1,26-Jul-13,3,Central Plot,G,3,1,1,
1,26-Jul-13,3,Central Plot,H,3,0,,1
1,26-Jul-13,3,Central Plot,I,2,0,1,1
1,26-Jul-13,3,Pinus Strobus,A,,,,
1,26-Jul-13,3,Pinus Strobus,B,3,,,
1,26-Jul-13,3,Pinus Strobus,C,3,,1,
1,26-Jul-13,3,Pinus Strobus,D,,0,,
1,26-Jul-13,3,Pinus Strobus,E,,0,,1
1,26-Jul-13,3,Pinus Strobus,F,3,0,,
1,26-Jul-13,3,Pinus Strobus,G,3,0,1,
1,26-Jul-13,3,Pinus Strobus,H,3,0,,1
1,26-Jul-13,3,Pinus Strobus,I,3,0,1,1
1,26-Jul-13,3,Red rugosa,A,,,,
1,26-Jul-13,3,Red rugosa,B,3,,,
1,26-Jul-13,3,Red rugosa,C,3,,1,
1,26-Jul-13,3,Red rugosa,D,,0,,
1,26-Jul-13,3,Red rugosa,E,,0,,1
1,26-Jul-13,3,Red rugosa,F,3,0,,
1,26-Jul-13,3,Red rugosa,G,3,0,1,
1,26-Jul-13,3,Red rugosa,H,3,0,,1
1,26-Jul-13,3,Red rugosa,I,3,0,1,1
1,26-Jul-13,3,Wild Rose,A,,,,
1,26-Jul-13,3,Wild Rose,B,3,,,
1,26-Jul-13,3,Wild Rose,C,3,,1,
1,26-Jul-13,3,Wild Rose,D,,0,,
1,26-Jul-13,3,Wild Rose,E,,0,,1
1,26-Jul-13,3,Wild Rose,F,3,0,,
1,26-Jul-13,3,Wild Rose,G,3,0,1,
1,26-Jul-13,3,Wild Rose,H,2,0,,1
