Cage,Time,Isopod,Temperature,X,Y,Z,Location,Behavior,Notes
17,07:00,Y,W,,,,,,
17,08:00,Y,W,,,,,,
17,09:00,Y,W,,,,,,
17,10:00,Y,W,5,12,9,G,S,
17,11:00,Y,W,5,20,11,M,S,
17,12:00,Y,W,14,17,4,GR,S,
17,01:00,Y,W,14,17,4,GR,S,
17,02:00,Y,W,,,,,,
17,03:00,Y,W,,,,,,
17,04:00,Y,W,,,,,,
17,05:00,Y,W,,,,,,
17,06:00,Y,W,,,,,,
17,07:00,Y,W,,,,,,
19,07:00,Y,C,,,,,,
19,08:00,Y,C,11,24,11,m,s,
19,09:00,Y,C,11.5,23,7,gr,s,
19,10:00,Y,C,10,25,10,m,s,
19,11:00,Y,C,10,25,10,m,s,
19,12:00,Y,C,10,25,10,m,s,
19,01:00,Y,C,10,25,10,m,s,
19,02:00,Y,C,10,25,10,m,s,
19,03:00,Y,C,4.5,26,9.5,m,s,
19,04:00,Y,C,12.5,16,7.5,gr,s,
19,05:00,Y,C,12,17,10.5,m,s,
19,06:00,Y,C,12,24,9.5,m,s,
19,07:00,Y,C,12,24,9.5,m,s,
20,07:00,N,C,,,,,,
20,08:00,N,C,6,20.5,10.5,m,s,
20,09:00,N,C,6,20.5,10.5,m,s,
20,10:00,N,C,0,20,10,m,s,
20,11:00,N,C,,,,,,
20,12:00,N,C,,,,,,
20,01:00,N,C,,,,,,
20,02:00,N,C,,,,,,
20,03:00,N,C,,,,,,
20,04:00,N,C,,,,,,
20,05:00,N,C,,,,,,
20,06:00,N,C,,,,,,
20,07:00,N,C,2,18,10,w,s,
21,07:00,Y,W,,,,,,
21,08:00,Y,W,,,,,,
21,09:00,Y,W,,,,,,
21,10:00,Y,W,11,26,0,M,S,
21,11:00,Y,W,,,,,,
21,12:00,Y,W,7,29,0,M,S,
21,01:00,Y,W,7,29,0,M,S,
21,02:00,Y,W,,,,,,
21,03:00,Y,W,,,,,,
21,04:00,Y,W,,,,,,
21,05:00,Y,W,,,,,,
21,06:00,Y,W,,,,,,
21,07:00,Y,W,,,,,,
22,07:00,N,W,8,31,6,M,S,
22,08:00,N,W,8,31,6,M,S,
22,09:00,N,W,8,30,9,M,S,
22,10:00,N,W,8,30,9,M,S,
22,11:00,N,W,8,30,9,M,S,
22,12:00,N,W,8,30,9,M,S,
22,01:00,N,W,8,30,9,M,S,
22,02:00,N,W,,,,,,
22,03:00,N,W,,,,,,
22,04:00,N,W,,,,,,
22,05:00,N,W,,,,,,
22,06:00,N,W,,,,,,
22,07:00,N,W,,,,,,
23,07:00,Y,C,,,,,,
23,08:00,Y,C,,,,,,
23,09:00,Y,C,,,,,,
23,10:00,Y,C,11,14.5,9,GR,S,
23,11:00,Y,C,11,14.5,9,GR,S,
23,12:00,Y,C,11,14.5,9,GR,S,
23,01:00,Y,C,11,14.5,9,GR,S,
23,02:00,Y,C,11,14.5,9,GR,S,
23,03:00,Y,C,11,14.5,9,GR,S,
23,04:00,Y,C,11,14.5,9,GR,S,
23,05:00,Y,C,11,14.5,9,GR,S,
23,06:00,Y,C,11,14.5,9,GR,S,
23,07:00,Y,C,11,14.5,9,GR,S,
24,07:00,N,C,,,,,,
24,08:00,N,C,14.5,31,0.5,W,S,
24,09:00,N,C,14.5,31,0.5,W,S,
24,10:00,N,C,1.5,13,0.5,W,S,
24,11:00,N,C,1.5,13,0.5,W,S,
24,12:00,N,C,1.5,13,0.5,W,S,
24,01:00,N,C,1.5,13,0.5,W,S,
24,02:00,N,C,1.5,13,0.5,W,S,
24,03:00,N,C,1.5,13,0.5,W,S,
24,04:00,N,C,1.5,13,0.5,W,S,
24,05:00,N,C,1.5,13,0.5,W,S,
24,06:00,N,C,1.5,13,0.5,W,S,
24,07:00,N,C,1.5,13,0.5,w,S,
25,07:00,Y,W,2,30,11.5,W,S,
25,08:00,Y,W,2,30,11.5,M,S,
25,09:00,Y,W,2,30,11.5,M,S,
25,10:00,Y,W,2,30,11.5,M,S,
25,11:00,Y,W,3,27,11.5,M,S,
25,12:00,Y,W,3,27,11.5,M,S,
25,01:00,Y,W,1,30,5,M,S,
25,02:00,Y,W,1,30,5,M,S,
25,03:00,Y,W,1,30,5,M,S,
25,04:00,Y,W,14,22,9.5,W,S,
