"","Time","Cage","G1V","G1H","G1PL","G1B","G2V","G2H","G2PL","G2B","SPV","SPH","SPPL","SPB","Doy","Observer"
"1",8,7,4,2,"GR","",NA,NA,"","",NA,NA,"","",217,"Rob"
"2",8,15,11,2,"Cage","",NA,NA,"","",NA,NA,"","",217,"Rob"
"3",8,4,4,3,"Cage","",4,4,"Grass","",NA,NA,"","",217,"Rob"
"4",8,3,7,5,"Cage","",5,5,"Grass","",NA,NA,"","",217,"Rob"
"5",8,5,18,5,"Cage","",7,3,"Cage","",NA,NA,"","",217,"Rob"
"6",8,13,18,5,"Cage","",10,1,"Grass","Eat",NA,NA,"","",217,"Rob"
"7",8,1,17,0,"Cage","",17,1,"Cage","",NA,NA,"","",217,"Rob"
"8",8,2,17,0,"Cage","",18,3,"Cage","",NA,NA,"","",217,"Rob"
"9",8,10,18,1,"Cage","",18,5,"Cage","",NA,NA,"","",217,"Rob"
"10",8,11,17,0,"Cage","",5,4,"Grass","",7,3,"","Sit",217,"Rob"
"11",8,14,6,2,"Cage","",NA,NA,"","",17,4,"","Sit",217,"Rob"
"12",8,6,8,3,"Grass","",NA,NA,"","",17,3,"","Sit",217,"Rob"
"13",8,9,12,1,"Cage","",NA,NA,"","",17,1,"","Sit",217,"Rob"
"14",8,12,8,3,"Grass","",5,3,"Grass","",17,0,"","Sit",217,"Rob"
"15",8,8,5,0,"Cage","",8,3,"Cage","",17,3,"","Sit",217,"Rob"
"16",8.5,7,5,2,"GR","Sit",NA,NA,"","",NA,NA,"","",217,"Rob"
"17",8.5,3,6,6,"Cage","Sit",NA,NA,"","",NA,NA,"","",217,"Rob"
"18",8.5,15,17,1,"Cage","Walk",NA,NA,"","",NA,NA,"","",217,"Rob"
"19",8.5,4,13,6,"Cage","Sit",4,4,"GR","Sit",NA,NA,"","",217,"Rob"
"20",8.5,1,7,4,"Cage","Sit",7,3,"GR","Eat",NA,NA,"","",217,"Rob"
"21",8.5,10,14,1,"Cage","Sit",8,0,"Cage","Sit",NA,NA,"","",217,"Rob"
"22",8.5,5,15,4,"Cage","Sit",8,4,"Cage","Sit",NA,NA,"","",217,"Rob"
"23",8.5,2,17,0,"Cage","Sit",18,1,"Cage","Sit",NA,NA,"","",217,"Rob"
"24",8.5,13,18,6,"Cage","Sit",18,6,"Cage","Sit",NA,NA,"","",217,"Rob"
"25",8.5,11,NA,NA,"","",NA,NA,"","",7,3,"Grass","Sit",217,"Rob"
"26",8.5,14,6,4,"Clover","Sit",NA,NA,"","",17,4,"Cage","Sit",217,"Rob"
"27",8.5,8,8,3,"Cage","Sit",NA,NA,"","",17,3,"Cage","Sit",217,"Rob"
"28",8.5,6,17,3,"Cage","Sit",9,3,"GR","Sit",17,3,"Cage","Sit",217,"Rob"
"29",8.5,12,3,0,"Cage","Hop",11,3,"GR","Sit",17,0,"Cage","Sit",217,"Rob"
"30",8.5,9,2,6,"Grass","Sit",14,2,"Cage","Sit",17,1,"Cage","Sit",217,"Rob"
"31",9,7,18,1,"Cage","Sit",NA,NA,"","",NA,NA,"","",217,"Rob"
"32",9,3,6,5,"Cage","Sit",4,3,"Cage","Sit",NA,NA,"","",217,"Rob"
"33",9,4,18,2,"Cage","Sit",4,4,"GR","Sit",NA,NA,"","",217,"Rob"
"34",9,5,6,3,"Grass","Sit",7,2,"GR","Sit",NA,NA,"","",217,"Rob"
"35",9,1,9,4,"Cage","Sit",7,4,"GR","Sit",NA,NA,"","",217,"Rob"
"36",9,15,17,5,"Cage","Walk",11,5,"Cage","Sit",NA,NA,"","",217,"Rob"
"37",9,13,17,5,"Cage","Sit",17,6,"Cage","Sit",NA,NA,"","",217,"Rob"
"38",9,2,17,0,"Cage","Sit",17,0,"Cage","Sit",NA,NA,"","",217,"Rob"
"39",9,10,15,0,"Cage","Sit",18,1,"Cage","Sit",NA,NA,"","",217,"Rob"
"40",9,11,17,4,"Cage","Sit",NA,NA,"","",7,6,"Cage","Sit",217,"Rob"
"41",9,9,14,2,"Cage","Sit",4,3,"Grass","Sit",17,1,"Cage","Sit",217,"Rob"
"42",9,14,16,4,"Cage","Sit",6,2,"GR","Sit",17,3,"Cage","Sit",217,"Rob"
"43",9,8,12,1,"Cage","Sit",7,1,"Cage","Sit",17,3,"Cage","Sit",217,"Rob"
"44",9,6,15,2,"Cage","Sit",9,3,"GR","Sit",17,3,"Cage","Sit",217,"Rob"
"45",9,12,4,2,"Cage","Hop",11,3,"GR","Sit",17,0,"Cage","Sit",217,"Rob"
"46",9.5,12,6,6,"Cage","Sit",NA,NA,"","",NA,NA,"","",217,"Rob"
"47",9.5,4,17,1,"Cage","Walk",NA,NA,"","",NA,NA,"","",217,"Rob"
"48",9.5,3,6,1,"Grass","Sit",6,4,"Cage","Sit",NA,NA,"","",217,"Rob"
"49",9.5,5,7,3,"GR","Sit",6,2,"Grass","Hop",NA,NA,"","",217,"Rob"
"50",9.5,1,17,1,"Cage","Sit",8,3,"Grass","Sit",NA,NA,"","",217,"Rob"
"51",9.5,15,17,2,"Cage","Sit",10,2,"Cage","Walk",NA,NA,"","",217,"Rob"
"52",9.5,2,16,2,"Cage","Sit",18,1,"Cage","Sit",NA,NA,"","",217,"Rob"
"53",9.5,13,17,0,"Cage","Sit",18,6,"Cage","Sit",NA,NA,"","",217,"Rob"
"54",9.5,10,17,0,"Cage","Sit",18,1,"Cage","Sit",NA,NA,"","",217,"Rob"
"55",9.5,11,9,2,"GR","Sit",NA,NA,"","",3,5,"Grass","Sit",217,"Rob"
"56",9.5,9,18,5,"Cage","Sit",NA,NA,"","",17,1,"Cage","Sit",217,"Rob"
"57",9.5,8,18,1,"Cage","Sit",3,5,"Grass","Sit",17,3,"Cage","Sit",217,"Rob"
"58",9.5,14,16,2,"Cage","Sit",8,2,"Grass","Sit",17,4,"Cage","Sit",217,"Rob"
"59",9.5,6,16,0,"Cage","Walk",9,1,"Cage","Sit",17,3,"Cage","Sit",217,"Rob"
"60",9.5,7,13,2,"Cage","Sit",NA,NA,"","",18,0,"Cage","Sit",217,"Rob"
"61",10,5,7,3,"GR","Sit",NA,NA,"","",NA,NA,"","",217,"Rob"
"62",10,2,18,1,"Cage","Sit",NA,NA,"","",NA,NA,"","",217,"Rob"
"63",10,1,NA,NA,"","",17,0,"Cage","Sit",NA,NA,"","",217,"Rob"
"64",10,4,8,3,"Cage","Sit",17,0,"Cage","Walk",NA,NA,"","",217,"Rob"
"65",10,15,18,5,"Cage","Sit",17,0,"Cage","Sit",NA,NA,"","",217,"Rob"
"66",10,3,14,1,"Cage","Sit",18,2,"Cage","Sit",NA,NA,"","",217,"Rob"
"67",10,13,17,5,"Cage","Sit",18,5,"Cage","Sit",NA,NA,"","",217,"Rob"
"68",10,10,17,0,"Cage","Sit",18,1,"Cage","Sit",NA,NA,"","",217,"Rob"
"69",10,11,9,2,"Cage","Walk",NA,NA,"","",3,5,"Grass","Sit",217,"Rob"
"70",10,9,11,2,"Cage","Walk",NA,NA,"","",17,1,"Cage","Sit",217,"Rob"
"71",10,12,11,3,"GR","Sit",2,1,"Cage","Sit",17,0,"Cage","Sit",217,"Rob"
"72",10,8,17,1,"QAL","Sit",6,3,"Cage","Sit",17,3,"Cage","Sit",217,"Rob"
"73",10,14,12,2,"Cage","Walk",9,3,"Grass","Feed",17,3,"Cage","Sit",217,"Rob"
"74",10,6,18,1,"Cage","Walk",11,0,"Cage","Sit",17,3,"Cage","Sit",217,"Rob"
"75",10,7,4,3,"Grass","Sit",NA,NA,"","",18,0,"Cage","Sit",217,"Rob"
"76",10.5,5,9,2,"Grass","Sit",NA,NA,"","",NA,NA,"","",217,"Rob"
"77",10.5,2,17,0,"Cage","Sit",NA,NA,"","",NA,NA,"","",217,"Rob"
"78",10.5,3,18,4,"Cage","Walk",NA,NA,"","",NA,NA,"","",217,"Rob"
"79",10.5,1,17,0,"Cage","Sit",6,4,"GR","Sit",NA,NA,"","",217,"Rob"
"80",10.5,4,14,3,"Cage","Sit",10,3,"GR","Sit",NA,NA,"","",217,"Rob"
"81",10.5,15,17,4,"Cage","Walk",18,5,"Cage","Sit",NA,NA,"","",217,"Rob"
"82",10.5,10,17,0,"Cage","Sit",18,3,"Cage","Sit",NA,NA,"","",217,"Rob"
"83",10.5,13,18,4,"Cage","Sit",18,6,"Cage","Sit",2,3,"Clover","Sit",217,"Rob"
