Block,Obs,Treatment,Cage,Time,X1,Y1,Z1,Location1,Behavior1,X2,Y2,Z2,Location2,Behavior2,X3,Y3,Z3,Location3,Behavior3,Xs,Ys,Zs,Locations,Behaviors
1,SG,W,1,07:00:00,5,25,7,GRD,S,12,31,3,M,W,,,,,,,,,,
1,SG,W,1,07:30:00,5,25,7,GRD,S,12,31,3,M,S,,,,,,10,13,11,M,S
1,SG,W,1,08:00:00,4,27,5,GRD,W,12,24,0,M,W,,,,,,10,13,11,M,S
1,SG,W,1,08:30:00,4,25,5,GRD,S,12,27,0,M,W,11,27,0,M,W,10,13,11,M,S
1,SG,W,1,09:00:00,4,25,7,GRD,S,14,29,2,M,S,12,31,3,M,S,10,13,11,M,S
1,SG,W,1,09:30:00,4,25,7,GRD,S,13,30,0,M,W,12,31,3,M,S,10,13,11,M,S
1,SG,W,1,10:00:00,3,17,5,G,F/W,13,28,0,M,S,11,27,0,M,W,10,13,11,M,S
1,SG,W,1,10:30:00,10,30,0,M,S,10,26,0,M,W,12,29,0,M,S,10,13,11,M,S
1,SG,W,1,11:00:00,14,31,4,M,W,12,31,1,M,W,12,29,0,M,W,10,13,11,M,S
1,SG,W,1,11:30:00,11,31,2,GR,F,12,31,2,M,S,12,28,0,M,S,10,13,11,M,S
1,SG,W,1,12:00:00,9,26,0,GR,F,11,25,0,GR,F,12,26,0,GR,F,10,13,11,M,S
1,SG,W,1,12:30:00,10,25,1,GR,S,13,31,1,W,S,13,31,1,W,S,10,13,11,M,S
1,SG,W,1,13:00:00,10,25,1,GR,S,1,25,0,M,S,13,31,1,W,S,10,13,11,M,S
1,SG,W,1,13:30:00,10,24,1,GR,S,12,31,2,S,W,12,31,1,W,S,10,13,11,M,S
1,SG,W,1,14:00:00,11,25,0,M,S,13,31,1,W,S,12,31,1,M,W,10,13,11,M,S
1,SG,W,1,14:30:00,13,30,0,M,S,13,31,1,W,S,14,31,1,M,W,10,13,11,M,S
1,SG,W,1,15:00:00,13,31,0,M,W,12,33,2,W,S,12,29,0,M,S,10,13,11,M,S
1,SG,W,1,15:30:00,,,,,,,,,,,,,,,,10,13,11,M,S
1,SG,W,1,16:00:00,11,28,0,M,S,12,29,0,M,S,11,24,0,M,S,10,13,11,M,S
1,SG,W,1,16:30:00,11,28,0,M,S,13,31,0,M,S,10,24,0,M,S,10,13,11,M,S
1,SG,W,1,17:00:00,11,18,0,M,S,12,31,10,M,W,8,31,5,M,S,10,13,11,M,S
1,SG,W,1,17:30:00,8,22,0,M,S,12,27,10,M,S,8,31,5,M,S,10,13,11,M,S
1,SG,W,1,18:00:00,9,21,0,M,S,9,30,7,M,S,4,27,6,GRD,S,10,13,11,M,S
1,SG,W,1,18:30:00,8,22,0,M,S,10,31,7,M,S,4,27,6,GRD,S,10,13,11,M,S
1,SG,W,1,19:00:00,9,19,0,M,S,11,28,0,M,S,4,27,6,GRD,S,10,13,11,M,S
1,SG,W,2,07:00:00,11,28,10,M,W,0,17,6,M,S,,,,,,13,28,3,W,W
1,SG,W,2,07:30:00,12,22,9,M,S,0,17,6,M,S,,,,,,5,31,0,M,W
1,SG,W,2,08:00:00,13,30,1,W,W,14,20,0,M,W,,,,,,6,31,5,M,S
1,SG,W,2,08:30:00,8,30,11,M,S,14,27,0,M,W,,,,,,4,29,11,M,S
1,SG,W,2,09:00:00,4,19,0,M,S,,,,,,,,,,,4,29,11,M,S
1,SG,W,2,09:30:00,11,25,0,GR,W/F/H,,,,,,,,,,,12,29,3,GR,S
1,SG,W,2,10:00:00,12,31,10,M,W,,,,,,,,,,,12,29,3,GR,S
1,SG,W,2,10:30:00,15,28,3,M,W,,,,,,,,,,,12,29,3,GR,S
1,SG,W,2,11:00:00,14,26,0,M,W,,,,,,,,,,,12,29,3,GR,S
1,SG,W,2,11:30:00,2,18,0,GR,F,,,,,,,,,,,12,29,3,GR,S
1,SG,W,2,12:00:00,7,21,10,GR,S,,,,,,,,,,,12,29,3,GR,S
1,SG,W,2,12:30:00,13,31,9,M,S,,,,,,,,,,,12,29,3,GR,S
1,SG,W,2,13:00:00,13,22,0,M,W,,,,,,,,,,,12,29,3,GR,S
1,SG,W,2,13:30:00,13,31,1,M,W,,,,,,,,,,,12,29,3,GR,S
1,SG,W,2,14:00:00,13,29,0,M,W,,,,,,,,,,,12,29,3,GR,S
1,SG,W,2,14:30:00,13,31,0,M,S,,,,,,,,,,,12,29,3,GR,S
1,SG,W,2,15:00:00,13,31,0,M,W,,,,,,,,,,,12,29,3,GR,S
1,SG,W,2,15:30:00,,,,,,,,,,,,,,,,,,,,S
1,SG,W,2,16:00:00,13,21,0,M,W,,,,,,,,,,,12,29,3,GR,S
1,SG,W,2,16:30:00,13,21,0,M,S,,,,,,,,,,,12,29,3,GR,S
1,SG,W,2,17:00:00,13,21,0,M,W,,,,,,,,,,,12,29,3,GR,S
1,SG,W,2,17:30:00,13,21,0,M,S,,,,,,,,,,,12,29,3,GR,S
1,SG,W,2,18:00:00,15,8,15,M,S,,,,,,,,,,,12,29,3,GR,S
1,SG,W,2,18:30:00,15,15,4,M,S,,,,,,,,,,,12,29,3,GR,S
1,SG,W,2,19:00:00,9,13,0,M,S,,,,,,,,,,,12,29,3,GR,S
1,Trini,C,3,07:00:00,2,22,9,GRD,W,,,,,,,,,,,10,16,1,GR,S
