Block,Source,Sex,Weight,15C,20C,25C,30C,35C,40C
A,C-MA,F,0.089,0.00,0.52,0.00,8.86,1.10,9.65
A,CT,F,0.092,0.00,1.70,1.86,4.88,6.43,10.03
A,N-MA,F,0.076,1.12,1.43,3.29,3.89,7.80,6.39
A,CT,F,0.076,0.06,1.92,1.59,3.90,14.98,5.78
B,NY,M,0.106,4.24,NA,1.49,1.99,2.38,5.70
B,N-MA,M,0.137,0.00,NA,0.97,2.37,5.12,6.08
B,NY,M,0.115,1.61,2.72,2.53,5.99,10.16,11.79
B,CT,M,0.089,7.03,2.33,2.45,2.80,2.24,5.38
B,N-MA,M,0.116,6.44,2.27,1.11,2.60,5.42,5.14
C,CT,F,0.116,1.29,NA,4.10,6.66,8.85,15.91
C,C-MA,F,0.045,8.65,0.55,1.43,3.04,4.72,7.93
C,N-MA,F,0.083,1.53,0.00,11.12,9.87,4.11,5.84
C,C-MA,M,0.145,4.79,2.02,2.84,5.50,11.05,8.71
C,NY,F,0.065,1.37,2.89,0.00,2.74,2.94,7.02
C,CT,M,0.088,5.69,0.97,1.26,1.36,5.73,7.57
C,N-MA,F,0.071,3.66,1.64,0.00,1.83,1.72,4.74
C,CT,F,0.127,4.38,2.74,1.47,3.88,4.91,7.51
D,C-MA,M,0.086,0.54,1.31,0.06,1.78,2.75,3.82
D,NY,M,0.087,7.10,4.60,1.50,1.70,3.93,6.57
D,C-MA,M,0.072,4.23,4.94,0.00,3.21,2.15,5.03
D,CT,M,0.085,1.26,1.41,0.44,2.80,2.12,6.48
D,N-MA,F,0.127,0.00,1.13,1.12,1.85,1.36,14.31
D,CT,M,0.073,0.00,0.46,1.31,2.67,1.76,3.93
E,CT,F,0.068,2.36,3.56,4.35,10.91,15.07,28.40
E,NY,F,0.145,0.00,NA,1.48,4.38,5.51,14.37
E,N-MA,F,0.148,6.87,NA,9.01,2.67,2.27,4.62
E,C-MA,M,0.09,1.51,1.16,0.00,3.98,1.89,6.99
E,CT,F,0.083,0.66,2.80,3.72,5.30,8.11,9.69
E,N-MA,F,0.057,0.12,1.49,0.00,4.12,2.57,7.29
F,NY,F,0.113,1.74,0.93,0.12,1.66,14.11,6.68
F,N-MA,F,0.061,2.18,3.94,3.13,7.77,14.79,12.73
F,NY,F,0.056,0.73,4.98,4.95,7.59,11.56,18.28
F,CT,F,0.046,1.03,7.28,7.86,6.12,14.65,11.69
F,CT,M,0.106,1.42,1.59,4.29,3.56,7.26,7.72
G,CT,F,0.037,0.00,NA,0.00,6.05,4.98,8.67
G,C-MA,M,0.079,2.78,2.55,0.26,1.33,3.11,5.92
G,N-MA,F,0.131,2.20,2.58,2.39,4.25,6.13,7.84
G,C-MA,F,0.085,0.43,0.90,0.00,0.79,3.16,5.37
G,NY,M,0.075,3.70,0.84,0.95,2.26,3.64,3.38
G,CT,M,0.108,1.35,3.24,1.18,4.52,5.10,9.09
G,N-MA,F,0.096,0.00,2.30,1.58,2.99,3.57,8.59
H,CT,F,0.045,3.05,2.03,3.49,7.57,15.20,24.90
H,C-MA,M,0.139,1.09,0.87,0.32,1.41,14.81,8.93
H,NY,F,0.075,1.32,1.98,0.54,1.65,4.08,6.90
H,N-MA,M,0.072,1.27,NA,0.56,4.11,10.61,11.13
H,NY,F,0.032,3.85,4.44,2.91,11.56,16.47,16.74
H,CT,F,0.074,2.40,1.20,0.00,1.65,1.85,5.60
H,CT,F,0.072,3.99,2.24,1.50,3.13,3.25,6.33
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
